"filename","handle"
tas_mon_CNRM-CM6-1_historical_r12i1p1f2_native.nc,hdl:21.14100/1c8fee69-d4e8-450e-9113-a4c55aea7fff
tas_mon_CNRM-CM6-1_historical_r13i1p1f2_native.nc,hdl:21.14100/b4b8da33-72b4-49ec-a298-363bb6f2d56f
tas_mon_CNRM-CM6-1_historical_r14i1p1f2_native.nc,hdl:21.14100/bc8a483b-c701-479f-94ea-c7ac2d278356
tas_mon_CNRM-CM6-1_historical_r15i1p1f2_native.nc,hdl:21.14100/2fb1b9c7-9f89-4b5c-b715-4520662b276e
tas_mon_CNRM-CM6-1_historical_r16i1p1f2_native.nc,hdl:21.14100/a971c10b-fd63-4c93-86d4-5a8d5531f17d
tas_mon_CNRM-CM6-1_historical_r17i1p1f2_native.nc,hdl:21.14100/bb8f0170-e067-47d1-be6b-ff82920aefd4
tas_mon_CNRM-CM6-1_historical_r18i1p1f2_native.nc,hdl:21.14100/144a9c7b-f02c-44f8-ac9f-27930ce62bbd
tas_mon_CNRM-CM6-1_historical_r19i1p1f2_native.nc,hdl:21.14100/d1a5bbff-9430-4799-b057-d22bea65332a
tas_mon_CNRM-CM6-1_historical_r1i1p1f2_native.nc,hdl:21.14100/87bf0ea8-e604-4581-b49d-0f98831346b1
tas_mon_CNRM-CM6-1_historical_r20i1p1f2_native.nc,hdl:21.14100/f0699a14-784d-4b9f-8383-33a7893997e7
tas_mon_CNRM-CM6-1_historical_r21i1p1f2_native.nc,hdl:21.14100/79adcdc4-c6e3-4070-8f80-a47d32879fa6
tas_mon_CNRM-CM6-1_historical_r22i1p1f2_native.nc,hdl:21.14100/6c7e41c3-b953-4f5d-b4af-46607d031c58
tas_mon_CNRM-CM6-1_historical_r23i1p1f2_native.nc,hdl:21.14100/a667717f-8250-4db2-8519-89303b9bf866
tas_mon_CNRM-CM6-1_historical_r24i1p1f2_native.nc,hdl:21.14100/27c6a07b-7f6f-42d6-a0da-317d246e9375
tas_mon_CNRM-CM6-1_historical_r25i1p1f2_native.nc,hdl:21.14100/869eeb25-45b2-4009-9629-e521e0d8ab10
tas_mon_CNRM-CM6-1_historical_r26i1p1f2_native.nc,hdl:21.14100/99e98120-7a39-442b-86bc-320782414165
tas_mon_CNRM-CM6-1_historical_r27i1p1f2_native.nc,hdl:21.14100/79b33aea-90c6-44cd-8ad5-64ce5c4df447
tas_mon_CNRM-CM6-1_historical_r28i1p1f2_native.nc,hdl:21.14100/cfc5309d-d067-4f1f-85e7-16ddfe8397a5
tas_mon_CNRM-CM6-1_historical_r29i1p1f2_native.nc,hdl:21.14100/043b6b19-0b26-4094-a088-653d0668b456
tas_mon_CNRM-CM6-1_historical_r2i1p1f2_native.nc,hdl:21.14100/1c35f9b0-8837-49c3-8fec-cdd1f4dd28d7
tas_mon_CNRM-CM6-1_historical_r30i1p1f2_native.nc,hdl:21.14100/358a73d6-5f40-406f-b7aa-160a908bf69d
tas_mon_CNRM-CM6-1_historical_r3i1p1f2_native.nc,hdl:21.14100/7fb8c37b-2188-4290-85ab-2a5d270fa4d2
tas_mon_CNRM-CM6-1_historical_r4i1p1f2_native.nc,hdl:21.14100/6e6655cd-42c8-448a-adbf-9f8deba31e22
tas_mon_CNRM-CM6-1_historical_r5i1p1f2_native.nc,hdl:21.14100/efab3840-26dc-450e-8552-8476a9fba639
tas_mon_CNRM-CM6-1_historical_r6i1p1f2_native.nc,hdl:21.14100/29012da2-20a8-4cc8-8e16-4cc4c66f0c7c
tas_mon_CNRM-CM6-1_historical_r7i1p1f2_native.nc,hdl:21.14100/13a26676-2a6d-49c6-b997-c0a8b5faeb6a
tas_mon_CNRM-CM6-1_historical_r8i1p1f2_native.nc,hdl:21.14100/7a7bb481-236a-4611-bbac-ea02ff63cab4
tas_mon_CNRM-CM6-1_historical_r9i1p1f2_native.nc,hdl:21.14100/e6cb739d-5169-4629-88df-fe96edc83db1
tas_mon_CNRM-CM6-1_ssp245_r1i1p1f2_native.nc,hdl:21.14100/cbe52a95-54b6-4f7c-9a40-55d17fd16861
tas_mon_CNRM-CM6-1_ssp245_r2i1p1f2_native.nc,hdl:21.14100/9a298b1d-4b1e-49b1-865a-dae6c80933d3
tas_mon_CNRM-CM6-1_ssp245_r3i1p1f2_native.nc,hdl:21.14100/5de82370-dac5-4261-a0dc-c0612d9c0b2b
tas_mon_CNRM-CM6-1_ssp245_r4i1p1f2_native.nc,hdl:21.14100/ba4fe9f0-c8ca-433c-9166-50c16f1f117e
tas_mon_CNRM-CM6-1_ssp245_r5i1p1f2_native.nc,hdl:21.14100/178a5912-696b-4e2b-83b1-d3f164e5d2c7
tas_mon_CNRM-CM6-1_ssp245_r6i1p1f2_native.nc,hdl:21.14100/83d373b4-0a8f-4b6d-a1e5-802e465fbf8b
tas_mon_CNRM-CM6-1-HR_historical_r1i1p1f2_native.nc,hdl:21.14100/101e3c2b-f508-4b41-a934-9b03824fd95f
tas_mon_CNRM-CM6-1-HR_ssp245_r1i1p1f2_native.nc,hdl:21.14100/294128ce-5b09-47e1-8ac7-1e1bbf015d10
tas_mon_CNRM-ESM2-1_historical_r10i1p1f2_native.nc,hdl:21.14100/5cfb6b3f-291c-46ea-9200-ddc4ae7e1915
tas_mon_CNRM-ESM2-1_historical_r11i1p1f2_native.nc,hdl:21.14100/87a7d2b1-059e-4ce3-a472-330c1304c5ad
tas_mon_CNRM-ESM2-1_historical_r1i1p1f2_native.nc,hdl:21.14100/a2e7d2e9-40c2-4d66-935b-a7706cf873ca
